stamp_sec,ref_stamp_sec,vib_stamp_sec,x,y,z,roll,pitch,yaw
1784309507.832647085,1784309507.832647085,1784309507.832647085,-0.429989,-0.064726,0.072503,-0.073974,-0.008538,-0.154503
1784309507.866032362,1784309507.866032362,1784309507.866032362,-0.429947,-0.064129,0.072469,-0.083741,-0.008249,-0.153592
1784309507.899314642,1784309507.899314642,1784309507.899314642,-0.429222,-0.064394,0.074904,-0.076590,-0.003067,-0.152646
1784309507.965942383,1784309507.965942383,1784309507.965942383,-0.428576,-0.064360,0.073662,-0.082502,-0.006691,-0.147081
1784309507.999328613,1784309507.999328613,1784309507.999328613,-0.427931,-0.064216,0.074774,-0.084308,-0.003370,-0.144189
1784309508.032610893,1784309508.032610893,1784309508.032610893,-0.427129,-0.064153,0.075432,-0.083415,-0.003833,-0.140928
1784309508.099279881,1784309508.099279881,1784309508.099279881,-0.425972,-0.065022,0.074635,-0.075821,-0.003032,-0.133396
1784309508.132668734,1784309508.132668734,1784309508.132668734,-0.425379,-0.064112,0.075379,-0.088184,-0.003245,-0.130042
1784309508.165950060,1784309508.165950060,1784309508.165950060,-0.424806,-0.065147,0.074130,-0.078911,-0.004171,-0.126184
1784309508.199335575,1784309508.199335575,1784309508.199335575,-0.424110,-0.064553,0.075106,-0.086877,-0.002430,-0.122254
1784309508.232578993,1784309508.232578993,1784309508.232578993,-0.423336,-0.064951,0.075855,-0.084749,-0.000131,-0.118103
1784309508.332631826,1784309508.332631826,1784309508.332631826,-0.422201,-0.065225,0.072825,-0.083013,-0.005732,-0.109209
1784309508.365916252,1784309508.365916252,1784309508.365916252,-0.421562,-0.065193,0.074119,-0.082064,-0.002855,-0.107584
1784309508.465948820,1784309508.465948820,1784309508.465948820,-0.420457,-0.065028,0.074976,-0.085919,-0.001960,-0.101992
1784309508.499189615,1784309508.499189615,1784309508.499189615,-0.420465,-0.064942,0.074565,-0.088099,-0.001458,-0.101038
1784309508.532576799,1784309508.532576799,1784309508.532576799,-0.420516,-0.065028,0.073056,-0.089864,-0.005347,-0.099002
1784309508.599203348,1784309508.599203348,1784309508.599203348,-0.420281,-0.065211,0.072205,-0.086177,-0.005873,-0.097136
1784309508.732501745,1784309508.732501745,1784309508.732501745,-0.418604,-0.065465,0.074831,-0.083244,-0.000071,-0.090855
1784309508.765804529,1784309508.765804529,1784309508.765804529,-0.418578,-0.065198,0.073318,-0.088572,-0.005468,-0.088218
1784309508.799190521,1784309508.799190521,1784309508.799190521,-0.418363,-0.064934,0.072431,-0.090506,-0.007511,-0.086516
1784309508.865860939,1784309508.865860939,1784309508.865860939,-0.418022,-0.064834,0.073563,-0.091421,-0.004994,-0.085398
1784309508.899123192,1784309508.899123192,1784309508.899123192,-0.418239,-0.064758,0.073555,-0.092565,-0.005716,-0.086232
1784309508.932507038,1784309508.932507038,1784309508.932507038,-0.418756,-0.064935,0.072904,-0.088566,-0.005354,-0.088108
1784309508.999138117,1784309508.999138117,1784309508.999138117,-0.419249,-0.064925,0.074509,-0.089166,-0.003036,-0.093074
1784309509.032396078,1784309509.032396078,1784309509.032396078,-0.420125,-0.064990,0.072826,-0.087028,-0.006054,-0.095898
1784309509.065782785,1784309509.065782785,1784309509.065782785,-0.420011,-0.064639,0.075637,-0.091343,0.000202,-0.098004
1784309509.132430792,1784309509.132430792,1784309509.132430792,-0.420507,-0.064681,0.075483,-0.089153,-0.000227,-0.101188
1784309509.165713549,1784309509.165713549,1784309509.165713549,-0.421282,-0.064249,0.073089,-0.097464,-0.007278,-0.101861
1784309509.199099064,1784309509.199099064,1784309509.199099064,-0.421167,-0.064636,0.073703,-0.090465,-0.006477,-0.102654
1784309509.265791416,1784309509.265791416,1784309509.265791416,-0.421482,-0.064605,0.075151,-0.089856,-0.003185,-0.105610
1784309509.299050808,1784309509.299050808,1784309509.299050808,-0.422020,-0.063893,0.074722,-0.099758,-0.004844,-0.107569
1784309509.332438231,1784309509.332438231,1784309509.332438231,-0.422586,-0.063916,0.073729,-0.096327,-0.007767,-0.110403
1784309509.399085760,1784309509.399085760,1784309509.399085760,-0.423574,-0.063446,0.074520,-0.101941,-0.007244,-0.116613
1784309509.432351112,1784309509.432351112,1784309509.432351112,-0.424145,-0.063541,0.074763,-0.098025,-0.008487,-0.120311
1784309509.465733528,1784309509.465733528,1784309509.465733528,-0.424567,-0.064213,0.075881,-0.088489,-0.003926,-0.123939
1784309509.532408714,1784309509.532408714,1784309509.532408714,-0.426086,-0.063534,0.074045,-0.095639,-0.011224,-0.130596
1784309509.565664291,1784309509.565664291,1784309509.565664291,-0.426926,-0.062900,0.072802,-0.102568,-0.014402,-0.133336
1784309509.665699005,1784309509.665699005,1784309509.665699005,-0.427760,-0.063104,0.073757,-0.097278,-0.013225,-0.140069
1784309509.698960543,1784309509.698960543,1784309509.698960543,-0.428374,-0.062883,0.072969,-0.100503,-0.013935,-0.142723
1784309509.732347012,1784309509.732347012,1784309509.732347012,-0.428725,-0.063162,0.073096,-0.095264,-0.013970,-0.144755
1784309509.798995495,1784309509.798995495,1784309509.798995495,-0.429697,-0.062816,0.073107,-0.097303,-0.015129,-0.150505
1784309509.832256794,1784309509.832256794,1784309509.832256794,-0.430185,-0.062350,0.073681,-0.101654,-0.014811,-0.153726
1784309509.865644455,1784309509.865644455,1784309509.865644455,-0.430526,-0.062395,0.075087,-0.100403,-0.011246,-0.157282
1784309509.898904562,1784309509.898904562,1784309509.898904562,-0.431550,-0.062480,0.073236,-0.098720,-0.015444,-0.160891
1784309509.965573788,1784309509.965573788,1784309509.965573788,-0.432622,-0.062580,0.073399,-0.097456,-0.016738,-0.167433
1784309509.998960495,1784309509.998960495,1784309509.998960495,-0.432967,-0.061788,0.073851,-0.104400,-0.018483,-0.169814
1784309510.032263517,1784309510.032263517,1784309510.032263517,-0.432834,-0.062338,0.075290,-0.097967,-0.013201,-0.170705
1784309510.065650702,1784309510.065650702,1784309510.065650702,-0.432918,-0.062294,0.074585,-0.099955,-0.014347,-0.170125
1784309510.132298231,1784309510.132298231,1784309510.132298231,-0.432142,-0.062195,0.076137,-0.101506,-0.011017,-0.167940
1784309510.165584326,1784309510.165584326,1784309510.165584326,-0.432018,-0.062509,0.074868,-0.098784,-0.012091,-0.166373
1784309510.198968172,1784309510.198968172,1784309510.198968172,-0.431978,-0.062869,0.073602,-0.095039,-0.013361,-0.164229
1784309510.298897743,1784309510.298897743,1784309510.298897743,-0.430285,-0.063158,0.074408,-0.094166,-0.010797,-0.155793
1784309510.332285404,1784309510.332285404,1784309510.332285404,-0.429270,-0.062538,0.076230,-0.100928,-0.008807,-0.151359
1784309510.398953438,1784309510.398953438,1784309510.398953438,-0.427331,-0.063124,0.075404,-0.097587,-0.007711,-0.140039
1784309510.432193995,1784309510.432193995,1784309510.432193995,-0.426070,-0.063295,0.075563,-0.098829,-0.007586,-0.132581
1784309510.532209396,1784309510.532209396,1784309510.532209396,-0.423184,-0.063990,0.074118,-0.094575,-0.007106,-0.114640
1784309510.565471888,1784309510.565471888,1784309510.565471888,-0.422479,-0.063694,0.074893,-0.100424,-0.005921,-0.111068
1784309510.598859072,1784309510.598859072,1784309510.598859072,-0.422151,-0.064103,0.074034,-0.096307,-0.007623,-0.107847
1784309510.732152939,1784309510.732152939,1784309510.732152939,-0.421150,-0.064311,0.074520,-0.094376,-0.007537,-0.102387
1784309510.765455484,1784309510.765455484,1784309510.765455484,-0.420883,-0.064370,0.075032,-0.091714,-0.003481,-0.102226
1784309510.798842192,1784309510.798842192,1784309510.798842192,-0.420856,-0.064123,0.074256,-0.095988,-0.006360,-0.100473
1784309510.865511894,1784309510.865511894,1784309510.865511894,-0.420446,-0.064874,0.072226,-0.088021,-0.009606,-0.096675
1784309510.898773193,1784309510.898773193,1784309510.898773193,-0.419685,-0.064904,0.074219,-0.089914,-0.004604,-0.094006
1784309510.932160139,1784309510.932160139,1784309510.932160139,-0.419430,-0.064403,0.073807,-0.096364,-0.006367,-0.091661
1784309510.998807907,1784309510.998807907,1784309510.998807907,-0.418508,-0.064279,0.074481,-0.096768,-0.003392,-0.087574
1784309511.032068968,1784309511.032068968,1784309511.032068968,-0.418075,-0.065149,0.074471,-0.084637,-0.002626,-0.086102
1784309511.065455675,1784309511.065455675,1784309511.065455675,-0.418112,-0.065241,0.073614,-0.085186,-0.004406,-0.084394
1784309511.098718643,1784309511.098718643,1784309511.098718643,-0.417600,-0.065522,0.074610,-0.081946,-0.000244,-0.083189
1784309511.198789120,1784309511.198789120,1784309511.198789120,-0.417275,-0.064931,0.074110,-0.090870,-0.002996,-0.079584
